Index,VegetationType,c_veg,z0_m
1,"Crops, mixed farming",0.9,0.25
2,Short grass,0.85,0.2
3,Evergreen needleleaf trees,0.9,2
4,Deciduous needleleaf trees,0.9,2
5,Deciduous broadleaf trees,0.9,2
6,Evergreen broadleaf trees,0.99,2
7,Tall grass,0.7,0.47
8,Desert,0,0.013
9,Tundra,0.5,0.034
10,Irrigated crops,0.9,0.5
11,Semidesert,0.1,0.17
12,Ice caps and glaciers,,1.30E-03
13,Bogs and marshes,0.6,0.83
14,Inland water,,
15,Ocean,,
16,Evergreen shrubs,0.5,0.1
17,Deciduous shrubs,0.5,0.25
18,Mixed forest/woodland,0.9,2
19,Interrupted forest,0.9,1.1
20,Water and land mixtures,0.6,
