sitename,latitude,longitude,measurement_height_above_ground,surface_cover_radius,time_analysis_start,time_coverage_end,timestep_interval_seconds,local_utc_offset_hours
GreaterKL-2017_Y1_M2sp_3sf_R2_s1,2.9163,101.4772,100,1000,2016-10-03 00:00:00,2018-01-12 00:00:00,3600,8
GreaterKL-2017_Y1_M2sp_3sf_R2_s2,2.95638,101.4772,100,1000,2016-10-03 00:00:00,2018-01-12 00:00:00,3600,8
GreaterKL-2017_Y1_M2sp_3sf_R2_s3,2.99646,101.4772,100,1000,2016-10-03 00:00:00,2018-01-12 00:00:00,3600,8
GreaterKL-2017_Y1_M2sp_3sf_R2_s4,3.03653,101.4772,100,1000,2016-10-03 00:00:00,2018-01-12 00:00:00,3600,8
GreaterKL-2017_Y1_M2sp_3sf_R2_s5,3.0766,101.4772,100,1000,2016-10-03 00:00:00,2018-01-12 00:00:00,3600,8
GreaterKL-2017_Y1_M2sp_3sf_R2_s6,3.11667,101.4772,100,1000,2016-10-03 00:00:00,2018-01-12 00:00:00,3600,8
GreaterKL-2017_Y1_M2sp_3sf_R2_s7,3.15673,101.4772,100,1000,2016-10-03 00:00:00,2018-01-12 00:00:00,3600,8
GreaterKL-2017_Y1_M2sp_3sf_R2_s8,3.19679,101.4772,100,1000,2016-10-03 00:00:00,2018-01-12 00:00:00,3600,8
GreaterKL-2017_Y1_M2sp_3sf_R2_s9,2.9163,101.51725,100,1000,2016-10-03 00:00:00,2018-01-12 00:00:00,3600,8
GreaterKL-2017_Y1_M2sp_3sf_R2_s10,2.95638,101.51725,100,1000,2016-10-03 00:00:00,2018-01-12 00:00:00,3600,8
GreaterKL-2017_Y1_M2sp_3sf_R2_s11,2.99646,101.51725,100,1000,2016-10-03 00:00:00,2018-01-12 00:00:00,3600,8
GreaterKL-2017_Y1_M2sp_3sf_R2_s12,3.03653,101.51725,100,1000,2016-10-03 00:00:00,2018-01-12 00:00:00,3600,8
GreaterKL-2017_Y1_M2sp_3sf_R2_s13,3.0766,101.51725,100,1000,2016-10-03 00:00:00,2018-01-12 00:00:00,3600,8
GreaterKL-2017_Y1_M2sp_3sf_R2_s14,3.11667,101.51725,100,1000,2016-10-03 00:00:00,2018-01-12 00:00:00,3600,8
GreaterKL-2017_Y1_M2sp_3sf_R2_s15,3.15673,101.51725,100,1000,2016-10-03 00:00:00,2018-01-12 00:00:00,3600,8
GreaterKL-2017_Y1_M2sp_3sf_R2_s16,3.19679,101.51725,100,1000,2016-10-03 00:00:00,2018-01-12 00:00:00,3600,8
GreaterKL-2017_Y1_M2sp_3sf_R2_s17,2.9163,101.55729,100,1000,2016-10-03 00:00:00,2018-01-12 00:00:00,3600,8
GreaterKL-2017_Y1_M2sp_3sf_R2_s18,2.95638,101.55729,100,1000,2016-10-03 00:00:00,2018-01-12 00:00:00,3600,8
GreaterKL-2017_Y1_M2sp_3sf_R2_s19,2.99646,101.55729,100,1000,2016-10-03 00:00:00,2018-01-12 00:00:00,3600,8
GreaterKL-2017_Y1_M2sp_3sf_R2_s20,3.03653,101.55729,100,1000,2016-10-03 00:00:00,2018-01-12 00:00:00,3600,8
