,LCZ1,LCZ2,LCZ3,LCZ4,LCZ5,LCZ6,LCZ7,LCZ8,LCZ9,LCZ10,LCZ11,LCZ12,LCZ13,LCZ14,LCZ15,LCZ16,LCZ17
Paved (-),0.45,0.4,0.35,0.35,0.4,0.3,0.05,0.45,0.15,0.3,0.02,0.02,0.02,0.02,0.9,0.02,0
Buildings (-),0.5,0.5,0.5,0.3,0.3,0.3,0.8,0.4,0.15,0.25,0.02,0.02,0.02,0.02,0.05,0.02,0
Grass (-),0.05,0.06,0.1,0.25,0.2,0.25,0.1,0.1,0.45,0.4,0,0.5,0.64,0.91,0.05,0,0
Deciduous trees (-),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evergreen trees (-),0,0.04,0.05,0.1,0.1,0.15,0.05,0.05,0.25,0.05,0.96,0.46,0.32,0.05,0,0,0
Bare soil (-),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0
Water (-),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mean building height (m),50,17.5,6.5,50,17.5,6.5,3,6.5,6.5,10,5,5,5,5,5,5,0
Mean vegetation height (m),1,1,1,1,1,1,0.3,0.8,2,0.6,17,9,1.5,0.5,0,0.1,0
Albedo (-),0.15,0.15,0.15,0.185,0.185,0.185,0.25,0.2,0.185,0.16,0.15,0.2,0.225,0.2,0.225,0.275,0.06
Height-to-width ratio (-),2.5,1.25,1.25,1,0.5,0.5,1.5,0.2,0.15,0.35,0.02,0.02,0.02,0.02,0.03,0.02,0
