,LCZ1,LCZ2,LCZ3,LCZ4,LCZ5,LCZ6,LCZ7,LCZ8,LCZ9,LCZ10,LCZ11,LCZ12,LCZ13,LCZ14,LCZ15,LCZ16,LCZ17
Paved (-),0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0
Buildings (-),0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0
Grass (-),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deciduous trees (-),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evergreen trees (-),0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0
Bare soil (-),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water (-),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mean building height (m),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
Mean vegetation height (m),17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0
Albedo (-),0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.06
Height-to-width ratio (-),0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0
