sitename,latitude,longitude,measurement_height_above_ground,surface_cover_radius,time_coverage_start,time_coverage_end,time_analysis_start,timestep_interval_seconds,local_utc_offset_hours
AU-Preston,-37.7306,145.0145,40.0,500,1993-01-01 00:00:00,2004-11-28 13:00:00,2003-08-12 03:30:00,1800.0,10
AU-SurreyHills,-37.8265,145.099,38.0,500,1994-01-01 00:00:00,2004-07-19 23:30:00,2004-02-23 05:00:00,1800.0,10
CA-Sunset,49.2261,-123.0784,24.8,fpm,2002-01-01 00:00:00,2016-12-31 23:30:00,2012-01-01 00:00:00,1800.0,-8
FI-Kumpula,60.2028,24.9611,31.0,1000,2000-01-01 00:00:00,2013-12-31 22:00:00,2010-12-31 22:30:00,1800.0,2
FI-Torni,60.1678,24.9387,60.0,1000,2000-01-01 00:00:00,2013-12-31 22:00:00,2010-12-31 22:30:00,1800.0,2
FR-Capitole,43.6035,1.4454,48.05,500,1994-01-01 00:00:00,2005-03-01 00:00:00,2004-02-20 00:30:00,1800.0,1
GR-HECKOR,35.3361,25.1328,27.0,fpm,2009-01-01 00:00:00,2020-06-30 22:00:00,2019-06-30 22:00:00,1800.0,2
JP-Yoyogi,35.6645,139.6845,52.0,500,2006-01-01 00:00:00,2020-03-31 14:00:00,2016-03-31 15:00:00,3600.0,9
KR-Jungnang,37.5907,127.0794,41.5,500,2007-01-01 00:00:00,2019-04-29 06:30:00,2017-01-24 16:00:00,1800.0,9
KR-Ochang,36.7197,127.4344,19.0,500,2005-01-01 00:00:00,2017-07-26 00:00:00,2015-06-07 15:00:00,1800.0,9
MX-Escandon,19.4042,-99.1761,37.0,fpm,2001-01-01 00:00:00,2012-09-13 14:00:00,2011-06-01 17:00:00,1800.0,-6
NL-Amsterdam,52.3665,4.8929,40.0,500,2009-01-01 00:00:00,2020-10-13 10:00:00,2019-01-01 00:00:00,1800.0,1
PL-Lipowa,51.7625,19.4453,37.0,fpm,1998-01-01 00:00:00,2012-12-31 23:00:00,2008-01-01 00:00:00,3600.0,1
PL-Narutowicza,51.7733,19.4811,42.0,500,1998-01-01 00:00:00,2012-12-31 23:00:00,2008-01-01 00:00:00,3600.0,1
SG-TelokKurau06,1.3143,103.9112,20.7,1000,1996-01-01 00:00:00,2007-03-31 16:00:00,2006-04-30 16:30:00,1800.0,8
UK-KingsCollege,51.5118,-0.1167,50.3,fpm,2002-01-01 00:00:00,2014-01-01 00:00:00,2012-04-04 00:00:00,1800.0,0
UK-Swindon,51.5846,-1.7981,12.5,500,2001-01-01 00:00:00,2013-04-25 11:00:00,2011-05-11 19:00:00,1800.0,0
US-Baltimore,39.4128,-76.5215,37.2,1000,1992-01-01 00:00:00,2007-01-01 04:00:00,2002-01-01 05:00:00,3600.0,-5
US-Minneapolis1,44.9984,-93.18836,40.0,fpm,1996-01-01 00:00:00,2009-05-29 13:00:00,2006-06-01 18:00:00,1800.0,-6
US-Minneapolis2,44.9984,-93.18836,40.0,fpm,1996-01-01 00:00:00,2009-05-29 13:00:00,2006-06-01 18:00:00,1800.0,-6
US-WestPhoenix,33.4839,-112.1426,22.1,fpm,2001-01-01 00:00:00,2013-01-01 06:30:00,2011-12-16 18:30:00,1800.0,-7
