Year	DOY	Hour	Minute	Tair	Pressure	Precipitation	Kdown	WindSpeed	RelativeHumidity
2010	1	1	0	0.6	101	0.25	0	0.01	98.61
2010	1	2	0	0.6	101	0.51	0	0.01	98.45
2010	1	3	0	0.6	101	0	0	0.01	98.11
2010	1	4	0	0.6	101	0	0	0.01	97.83
2010	1	5	0	0.6	101	0	0	0.01	96.73
2010	1	6	0	0.6	101	0	0	0.01	95.5
2010	1	7	0	0.6	101	0	0	0.01	94.96
2010	1	8	0	0.6	101	0	16	1.34	99.39
2010	1	9	0	1.1	101	0	83	1.34	96.4
2010	1	10	0	1.7	101	0	123.5	2.68	92.83
2010	1	11	0	2.2	101	0	281	2.24	88.78
2010	1	12	0	2.8	100	0	353.5	2.24	84.33
2010	1	13	0	3.9	100	0	340	2.68	85.35
2010	1	14	0	3.9	100	0	255	4.02	87.59
2010	1	15	0	5	100	0	126.5	3.13	92.87
2010	1	16	0	3.3	100	0	23	3.13	95.05
2010	1	17	0	3.9	100	0	0	2.68	94.95
2010	1	18	0	3.3	100	0	0	2.68	94.59
2010	1	19	0	4.4	100	0	0	4.02	93.77
2010	1	20	0	3.9	100	0	0	4.02	100
2010	1	21	0	3.9	100	0	0	6.26	100
2010	1	22	0	3.3	100	0	0	4.02	98.4
2010	1	23	0	2.8	100	0	0	5.81	94.57
2010	2	0	0	1.1	100	0.25	0	6.26	94.36
2010	2	1	0	0.6	100	0	0	7.6	88.29
2010	2	2	0	0	100	0	0	9.39	86.08
2010	2	3	0	-0.6	100	0	0	9.39	85.29
2010	2	4	0	-1.1	100	0	0	10.28	83.76
2010	2	5	0	-1.7	100	0	0	8.94	80.77
2010	2	6	0	-2.2	100	0	0	8.05	82.5
2010	2	7	0	-2.2	100	0	0	8.05	78.53
2010	2	8	0	-1.7	100	0	30.5	8.05	76.07
2010	2	9	0	-1.7	100	0	171	10.28	74.59
2010	2	10	0	-2.2	100	0	247.5	10.73	73.46
2010	2	11	0	-2.2	100	0	234	11.18	72.15
2010	2	12	0	-3.3	100	0	189	10.28	75.57
2010	2	13	0	-2.8	100	0	249	10.73	73.24
2010	2	14	0	-2.8	100	0	194.5	11.18	75.98
2010	2	15	0	-2.8	100	0	155	9.39	72.51
2010	2	16	0	-3.3	100	0	77	12.52	73.66
2010	2	17	0	-4.4	100	0	0	13.86	74.63
2010	2	18	0	-5.6	100	0	0	14.31	76.53
2010	2	19	0	-6.1	100	0	0	10.28	80.07
2010	2	20	0	-7.2	100	0	0	13.86	78.29
2010	2	21	0	-7.8	100	0	0	11.18	76.87
2010	2	22	0	-7.8	100	0	0	10.28	75.91
2010	2	23	0	-8.3	100	0	0	10.73	81.57
2010	3	0	0	-7.8	100	0	0	12.96	81.51
2010	3	1	0	-7.8	100	0	0	13.41	75.47
2010	3	2	0	-7.8	100	0	0	13.41	75.62
2010	3	3	0	-7.8	100	0	0	9.39	76.06
2010	3	4	0	-7.8	100	0	0	9.83	76.67
2010	3	5	0	-7.8	99	0	0	10.28	77.25
2010	3	6	0	-7.2	99	0	0	10.73	77.47
2010	3	7	0	-7.2	99	0	0	11.62	78.13
2010	3	8	0	-6.7	99	0	24	10.28	79.24
2010	3	9	0	-6.1	99	0	119	9.83	74.17
2010	3	10	0	-5.6	99	0	181.5	9.83	74.52
2010	3	11	0	-5	99	0	221	9.83	75.3
2010	3	12	0	-5.6	99	0	351	14.75	70.88
2010	3	13	0	-5	99	0	368.5	12.96	72.11
2010	3	14	0	-5	99	0	204.5	12.96	73.24
2010	3	15	0	-6.1	99	0	74.5	13.86	73.84
2010	3	16	0	-6.1	99	0	27	13.86	73.33
2010	3	17	0	-6.7	100	0	0	10.73	77.99
2010	3	18	0	-6.1	100	0	0	13.41	77.89
2010	3	19	0	-6.1	100	0	0	11.18	78.97
2010	3	20	0	-5.6	100	0	0	12.96	80.68
2010	3	21	0	-5.6	100	0	0	9.83	82.35
2010	3	22	0	-6.1	100	0	0	11.18	77.44
2010	3	23	0	-5.6	100	0	0	9.39	78.31
2010	4	0	0	-5.6	100	0	0	7.15	79.05
2010	4	1	0	-6.1	100	0	0	9.39	79.6
2010	4	2	0	-6.1	100	0	0	8.05	79.88
2010	4	3	0	-6.1	100	0	0	8.94	79.66
2010	4	4	0	-6.1	100	0	0	8.94	85.85
2010	4	5	0	-6.1	100	0	0	8.94	85.94
2010	4	6	0	-6.7	100	0	0	8.05	85.73
2010	4	7	0	-6.7	100	0	0	5.81	85.52
2010	4	8	0	-5.6	100	0	12.5	6.71	80.37
2010	4	9	0	-5	100	0	99.5	9.83	76.45
2010	4	10	0	-3.3	100	0	211.5	9.39	74.2
2010	4	11	0	-2.8	100	0	285.5	7.15	72.36
2010	4	12	0	-2.2	100	0	394	7.15	69.71
2010	4	13	0	-1.1	100	0	379	6.26	71.33
2010	4	14	0	-0.6	100	0	319.5	8.05	67
2010	4	15	0	-0.6	100	0	225.5	8.05	71.83
2010	4	16	0	-1.1	100	0	85.5	6.71	70.52
2010	4	17	0	-2.2	100	0	5	7.6	73.46
2010	4	18	0	-2.8	100	0	0	7.6	76.34
2010	4	19	0	-3.3	100	0	0	9.39	79.37
2010	4	20	0	-4.4	100	0	0	9.39	83.11
2010	4	21	0	-5	100	0	0	6.26	81.45
2010	4	22	0	-5	100	0	0	7.6	80.34
2010	4	23	0	-5.6	100	0	0	8.05	85.99
2010	5	0	0	-5.6	100	0	0	7.15	85.64
2010	5	1	0	-6.1	100	0	0	6.26	85.37
2010	5	2	0	-6.1	100	0	0	5.81	85.09
2010	5	3	0	-5.6	100	0	0	6.26	84.93
2010	5	4	0	-5	100	0	0	6.71	85.04
2010	5	5	0	-5	100	0	0	7.6	85.29
2010	5	6	0	-5	100	0	0	4.92	85.47
2010	5	7	0	-5.6	100	0	0	6.71	85.75
2010	5	8	0	-5.6	100	0	36.5	5.81	82.06
2010	5	9	0	-3.9	100	0	187.5	6.26	78.42
2010	5	10	0	-2.8	100	0	326.5	7.15	70.06
2010	5	11	0	-1.7	100	0	424	8.05	68.13
2010	5	12	0	-0.6	100	0	467.5	7.15	70.83
2010	5	13	0	0	100	0	453	7.6	67.42
2010	5	14	0	0	100	0	381.5	8.05	67.95
2010	5	15	0	-0.6	100	0	262.5	8.94	72.75
2010	5	16	0	-1.1	100	0	115	6.71	71.44
2010	5	17	0	-1.7	100	0	7.5	6.26	75.06
2010	5	18	0	-2.2	100	0	0	7.6	78.81
2010	5	19	0	-2.8	100	0	0	5.81	76.82
2010	5	20	0	-2.2	100	0	0	8.94	81.49
2010	5	21	0	-2.2	100	0	0	9.39	81.06
2010	5	22	0	-2.2	100	0	0	7.15	80.96
2010	5	23	0	-2.8	100	0	0	8.94	80.83
2010	6	0	0	-2.8	100	0	0	7.15	80.72
2010	6	1	0	-2.8	100	0	0	7.6	81
2010	6	2	0	-2.8	100	0	0	7.15	81.46
2010	6	3	0	-2.8	100	0	0	6.26	82.01
2010	6	4	0	-2.8	100	0	0	6.71	82.95
2010	6	5	0	-2.8	100	0	0	7.6	83.67
2010	6	6	0	-2.8	100	0	0	8.94	84.07
2010	6	7	0	-2.8	100	0	0	7.15	83.86
2010	6	8	0	-2.8	100	0	35	7.6	78.28
2010	6	9	0	-2.2	100	0	183.5	8.94	72.43
2010	6	10	0	-0.6	100	0	325	8.05	68.87
2010	6	11	0	0	100	0	426.5	6.26	66.94
2010	6	12	0	0.6	100	0	471	7.6	70.15
2010	6	13	0	1.1	100	0	458	8.05	72.71
2010	6	14	0	1.7	100	0	387.5	8.05	73.94
2010	6	15	0	1.7	100	0	268.5	7.15	73.79
2010	6	16	0	1.1	100	0	119.5	7.6	72.28
2010	6	17	0	0	100	0	8.5	10.28	75.63
2010	6	18	0	-0.6	100	0	0	9.39	73.67
2010	6	19	0	-1.1	100	0	0	9.83	78.19
2010	6	20	0	-1.1	100	0	0	10.73	78.13
2010	6	21	0	-1.7	100	0	0	6.71	78.5
2010	6	22	0	-1.7	100	0	0	8.05	79.17
2010	6	23	0	-1.1	100	0	0	11.18	80.03
2010	7	0	0	-1.1	100	0	0	7.15	80.84
2010	7	1	0	-1.1	100	0	0	6.26	81.6
2010	7	2	0	-1.1	100	0	0	6.71	82.18
2010	7	3	0	-1.1	100	0	0	5.81	82.62
2010	7	4	0	-1.1	100	0	0	6.26	82.93
2010	7	5	0	-1.1	101	0	0	6.26	82.98
2010	7	6	0	-1.1	101	0	0	6.71	83.01
2010	7	7	0	-1.1	101	0	0	7.15	83.49
2010	7	8	0	-0.6	101	0	35.5	6.71	81.02
2010	7	9	0	0.6	101	0	184	6.26	77.88
2010	7	10	0	1.7	101	0	322.5	9.83	80.44
2010	7	11	0	2.2	101	0	420.5	7.15	77.29
2010	7	12	0	2.8	101	0	333	7.15	73.72
2010	7	13	0	3.9	101	0	354	6.71	74.96
2010	7	14	0	3.9	101	0	382.5	7.15	75.92
2010	7	15	0	3.9	101	0	264.5	7.15	77.69
2010	7	16	0	2.8	101	0	96	6.26	86.38
2010	7	17	0	2.2	101	0	7	4.92	85.3
2010	7	18	0	1.7	101	0	0	6.26	85.47
2010	7	19	0	1.1	101	0	0	4.47	83.45
2010	7	20	0	0.6	101	0	0	4.92	87.67
2010	7	21	0	0	101	0	0	3.58	86.43
2010	7	22	0	-0.6	101	0	0	2.68	86.32
2010	7	23	0	0	101	0	0	3.13	85.66
2010	8	0	0	-0.6	100	0	0	3.13	84.03
2010	8	1	0	-0.6	100	0	0	2.24	83.3
2010	8	2	0	-1.1	100	0	0	2.68	84.96
2010	8	3	0	0	100	0	0	4.02	87.25
2010	8	4	0	-1.7	100	0	0	3.58	88.99
2010	8	5	0	-1.7	100	0	0	4.92	89.85
2010	8	6	0	-1.7	100	0	0	3.58	89.62
2010	8	7	0	-1.7	100	0	0	4.92	89.08
2010	8	8	0	-1.7	100	0	13	4.47	89.36
2010	8	9	0	-1.1	100	0	122	5.81	89.24
2010	8	10	0	-1.1	100	0	214	4.47	82.7
2010	8	11	0	0	100	0	134	3.13	82.61
2010	8	12	0	0	100	0	41.5	5.81	82.66
2010	8	13	0	0	100	0	108.5	6.26	83.06
2010	8	14	0	-0.6	100	0	96.5	8.05	84.07
2010	8	15	0	0	100	0	141.5	6.26	83.72
2010	8	16	0	0.6	100	0	88	4.92	78.74
2010	8	17	0	0.6	100	0	9	7.6	75.33
2010	8	18	0	-1.1	100	0	0	9.39	71.99
