id,xmin,xmax,ymin,ymax,PPdaymean
3336,586077.939039999968372,586577.939039999968372,4511900.726510000415146,4512400.726510000415146,1813.20204827724
3242,586077.939039999968372,586577.939039999968372,4512400.726510000415146,4512900.726510000415146,1814.79219908585
3054,586077.939039999968372,586577.939039999968372,4513400.726510000415146,4513900.726510000415146,18.3477954765161
3337,586577.939039999968372,587077.939039999968372,4511900.726510000415146,4512400.726510000415146,1495.48811642986
3055,586577.939039999968372,587077.939039999968372,4513400.726510000415146,4513900.726510000415146,108.734135755193
3148,586077.939039999968372,586577.939039999968372,4512900.726510000415146,4513400.726510000415146,1259.82977472488
3243,586577.939039999968372,587077.939039999968372,4512400.726510000415146,4512900.726510000415146,1802.64825503476
3338,587077.939039999968372,587577.939039999968372,4511900.726510000415146,4512400.726510000415146,574.443194736579
3056,587077.939039999968372,587577.939039999968372,4513400.726510000415146,4513900.726510000415146,518.267984052944
3149,586577.939039999968372,587077.939039999968372,4512900.726510000415146,4513400.726510000415146,928.347874463289
3244,587077.939039999968372,587577.939039999968372,4512400.726510000415146,4512900.726510000415146,1095.37233760315
3339,587577.939039999968372,588077.939039999968372,4511900.726510000415146,4512400.726510000415146,73.9203687165175
3057,587577.939039999968372,588077.939039999968372,4513400.726510000415146,4513900.726510000415146,630.63278972391
3150,587077.939039999968372,587577.939039999968372,4512900.726510000415146,4513400.726510000415146,793.120806472174
3245,587577.939039999968372,588077.939039999968372,4512400.726510000415146,4512900.726510000415146,739.175678137577
3151,587577.939039999968372,588077.939039999968372,4512900.726510000415146,4513400.726510000415146,604.754694915015
