id,xmin,xmax,ymin,ymax,PPnightmean
3336,586077.939039999968372,586577.939039999968372,4511900.726510000415146,4512400.726510000415146,22.2000864163423
3242,586077.939039999968372,586577.939039999968372,4512400.726510000415146,4512900.726510000415146,49.8312725976797
3054,586077.939039999968372,586577.939039999968372,4513400.726510000415146,4513900.726510000415146,4.33563166891848
3337,586577.939039999968372,587077.939039999968372,4511900.726510000415146,4512400.726510000415146,234.149283186901
3055,586577.939039999968372,587077.939039999968372,4513400.726510000415146,4513900.726510000415146,43.3787225955076
3148,586077.939039999968372,586577.939039999968372,4512900.726510000415146,4513400.726510000415146,161.290307304999
3243,586577.939039999968372,587077.939039999968372,4512400.726510000415146,4512900.726510000415146,96.6280188920615
3338,587077.939039999968372,587577.939039999968372,4511900.726510000415146,4512400.726510000415146,441.284714228846
3056,587077.939039999968372,587577.939039999968372,4513400.726510000415146,4513900.726510000415146,243.629194966209
3149,586577.939039999968372,587077.939039999968372,4512900.726510000415146,4513400.726510000415146,111.448298814834
3244,587077.939039999968372,587577.939039999968372,4512400.726510000415146,4512900.726510000415146,429.881458547017
3339,587577.939039999968372,588077.939039999968372,4511900.726510000415146,4512400.726510000415146,181.984446319776
3057,587577.939039999968372,588077.939039999968372,4513400.726510000415146,4513900.726510000415146,598.625497511486
3150,587077.939039999968372,587577.939039999968372,4512900.726510000415146,4513400.726510000415146,300.877835043883
3245,587577.939039999968372,588077.939039999968372,4512400.726510000415146,4512900.726510000415146,361.878553736404
3151,587577.939039999968372,588077.939039999968372,4512900.726510000415146,4513400.726510000415146,413.675945873979
