Wd Paved Buildings EvergreenTrees DecidiousTrees Grass Baresoil Water
  0 0.048 0.072 0.000 0.808 0.072 0.000 0.000
  5 0.080 0.080 0.000 0.696 0.144 0.000 0.000
 10 0.120 0.064 0.000 0.680 0.136 0.000 0.000
 15 0.140 0.039 0.000 0.473 0.318 0.000 0.031
 20 0.189 0.030 0.000 0.530 0.227 0.000 0.023
 25 0.139 0.044 0.000 0.591 0.226 0.000 0.000
 30 0.077 0.112 0.000 0.650 0.161 0.000 0.000
 35 0.139 0.053 0.000 0.517 0.232 0.000 0.060
 40 0.117 0.000 0.000 0.691 0.167 0.000 0.025
 45 0.091 0.000 0.000 0.709 0.171 0.000 0.029
 50 0.099 0.000 0.000 0.685 0.216 0.000 0.000
 55 0.185 0.000 0.000 0.589 0.225 0.000 0.000
 60 0.252 0.000 0.000 0.545 0.203 0.000 0.000
 65 0.139 0.051 0.000 0.562 0.248 0.000 0.000
 70 0.121 0.061 0.000 0.629 0.189 0.000 0.000
 75 0.085 0.047 0.000 0.698 0.171 0.000 0.000
 80 0.096 0.088 0.000 0.688 0.128 0.000 0.000
 85 0.136 0.152 0.000 0.520 0.192 0.000 0.000
 90 0.136 0.112 0.000 0.488 0.264 0.000 0.000
 95 0.136 0.104 0.000 0.552 0.208 0.000 0.000
100 0.144 0.104 0.000 0.608 0.144 0.000 0.000
105 0.155 0.202 0.000 0.543 0.101 0.000 0.000
110 0.136 0.129 0.000 0.606 0.129 0.000 0.000
115 0.080 0.219 0.000 0.606 0.095 0.000 0.000
120 0.322 0.000 0.000 0.566 0.112 0.000 0.000
125 0.053 0.205 0.000 0.662 0.079 0.000 0.000
130 0.179 0.185 0.000 0.531 0.105 0.000 0.000
135 0.131 0.194 0.000 0.566 0.109 0.000 0.000
140 0.247 0.130 0.000 0.531 0.093 0.000 0.000
145 0.225 0.139 0.000 0.523 0.113 0.000 0.000
150 0.147 0.154 0.000 0.566 0.133 0.000 0.000
155 0.190 0.095 0.000 0.555 0.161 0.000 0.000
160 0.197 0.068 0.000 0.606 0.129 0.000 0.000
165 0.147 0.031 0.000 0.659 0.163 0.000 0.000
170 0.104 0.016 0.000 0.760 0.120 0.000 0.000
175 0.064 0.016 0.000 0.768 0.152 0.000 0.000
180 0.048 0.072 0.000 0.808 0.072 0.000 0.000
185 0.080 0.080 0.000 0.696 0.144 0.000 0.000
190 0.120 0.064 0.000 0.680 0.136 0.000 0.000
195 0.140 0.039 0.000 0.473 0.318 0.000 0.031
200 0.167 0.053 0.000 0.545 0.235 0.000 0.000
205 0.153 0.095 0.000 0.547 0.204 0.000 0.000
210 0.077 0.112 0.000 0.664 0.147 0.000 0.000
215 0.079 0.046 0.000 0.589 0.238 0.000 0.046
220 0.123 0.000 0.000 0.617 0.247 0.000 0.012
225 0.091 0.000 0.000 0.709 0.171 0.000 0.029
230 0.086 0.000 0.000 0.716 0.198 0.000 0.000
235 0.139 0.000 0.000 0.589 0.272 0.000 0.000
240 0.231 0.007 0.000 0.552 0.210 0.000 0.000
245 0.161 0.051 0.000 0.599 0.190 0.000 0.000
250 0.106 0.061 0.000 0.614 0.220 0.000 0.000
255 0.085 0.047 0.000 0.698 0.171 0.000 0.000
260 0.096 0.088 0.000 0.688 0.128 0.000 0.000
265 0.136 0.152 0.000 0.520 0.192 0.000 0.000
270 0.136 0.112 0.000 0.488 0.264 0.000 0.000
275 0.136 0.104 0.000 0.552 0.208 0.000 0.000
280 0.144 0.104 0.000 0.608 0.144 0.000 0.000
285 0.155 0.202 0.000 0.543 0.101 0.000 0.000
290 0.136 0.121 0.000 0.667 0.076 0.000 0.000
295 0.088 0.219 0.000 0.599 0.095 0.000 0.000
300 0.329 0.000 0.000 0.573 0.098 0.000 0.000
305 0.093 0.192 0.000 0.576 0.139 0.000 0.000
310 0.167 0.167 0.000 0.531 0.136 0.000 0.000
315 0.131 0.194 0.000 0.566 0.109 0.000 0.000
320 0.253 0.136 0.000 0.543 0.068 0.000 0.000
325 0.238 0.132 0.000 0.536 0.093 0.000 0.000
330 0.168 0.140 0.000 0.559 0.133 0.000 0.000
335 0.175 0.131 0.000 0.555 0.139 0.000 0.000
340 0.220 0.091 0.000 0.606 0.083 0.000 0.000
345 0.147 0.031 0.000 0.659 0.163 0.000 0.000
350 0.104 0.016 0.000 0.760 0.120 0.000 0.000
355 0.064 0.016 0.000 0.768 0.152 0.000 0.000
