Year	DOY	Hour	Min	 Dectime	   Kdown	     Kup	   Ldown	     Lup	   Tsurf	      QN	      QF	      QS	      QH	      QE	    Rain	     Irr	    Evap	      RO	   TotCh	  SurfCh	   State	NWtrState	Drainage	     SMD	  Zenith	 Azimuth	 AlbBulk	    Fcld	     LAI	   UStar	     Lob	      Fc	      Ts	      T2	      Q2	     U10	     RH2
2010	  1	   1	  0	  0.0417	  0.0000	  0.0000	289.0989	316.5198	  0.6000	-27.4209	124.6360	 -9.8816	 99.0086	  8.0881	  0.2500	  0.0000	  0.0117	  0.0213	  0.2171	  0.2171	  0.2171	   0.2171	  0.0227	  0.0000	158.1486	 40.6852	  0.1119	  0.6362	  0.1042	  0.1500	 -3.1368	  0.0000	  9.7658	  1.9759	  3.9762	  0.0119	 91.0560
2010	  1	   2	  0	  0.0833	  0.0000	  0.0000	289.0057	316.5136	  0.6000	-27.5079	108.3881	 -8.5404	 69.2927	 20.1278	  0.5100	  0.0000	  0.0290	  0.2943	  0.1867	  0.1867	  0.4038	   0.4038	  0.3133	  0.0000	149.0629	 64.4682	  0.1119	  0.6351	  0.1042	  0.1500	 -4.4240	  0.0000	  7.0149	  1.5630	  4.0843	  0.0118	 96.3152
2010	  1	   3	  0	  0.1250	  0.0000	  0.0000	288.7294	316.4953	  0.6000	-27.7660	102.1151	 -7.8880	 66.3882	 15.8490	  0.0000	  0.0000	  0.0228	  0.1522	 -0.1751	 -0.1751	  0.2287	   0.2287	  0.1620	  0.0000	138.2770	 79.1207	  0.1119	  0.6319	  0.1042	  0.1500	 -4.6004	  0.0000	  6.7460	  1.5226	  4.0344	  0.0118	 95.4155
2010	  1	   4	  0	  0.1667	  0.0000	  0.0000	288.4001	316.4735	  0.6000	-28.0734	 98.7216	 -7.6130	 68.0276	 10.2336	  0.0000	  0.0000	  0.0147	  0.0337	 -0.0484	 -0.0484	  0.1803	   0.1803	  0.0359	  0.0000	126.9896	 89.9378	  0.1119	  0.6281	  0.1042	  0.1500	 -4.4883	  0.0000	  6.8979	  1.5454	  3.9702	  0.0118	 93.7463
2010	  1	   5	  0	  0.2083	  0.0000	  0.0000	287.6289	316.4224	  0.6000	-28.7935	105.4058	 -7.8304	 75.4222	  9.0206	  0.0000	  0.0000	  0.0130	  0.0161	 -0.0291	 -0.0291	  0.1512	   0.1512	  0.0172	  0.0000	115.6919	 99.2053	  0.1119	  0.6193	  0.1042	  0.1500	 -4.0564	  0.0000	  7.5826	  1.6482	  3.9302	  0.0119	 92.1252
2010	  1	   6	  0	  0.2500	  0.0000	  0.0000	286.3926	316.3405	  0.6000	-29.9479	145.8200	 -8.4989	113.2564	 11.1146	  0.0000	  0.0000	  0.0160	  0.0091	 -0.0251	 -0.0251	  0.1261	   0.1261	  0.0097	  0.0000	104.6886	108.0417	  0.1119	  0.6052	  0.1042	  0.1500	 -2.7608	  0.0000	 11.0858	  2.1741	  3.9032	  0.0120	 88.1315
2010	  1	   7	  0	  0.2917	  2.3333	  0.2611	285.4959	316.4468	  0.6382	-28.8787	240.7367	 -7.6716	204.4934	 15.0362	  0.0000	  0.0000	  0.0217	  0.0050	 -0.0266	 -0.0266	  0.0994	   0.0994	  0.0053	  0.0000	 93.9992	117.1390	  0.1119	  0.5950	  0.1042	  0.1500	 -1.5376	  0.0000	 19.5335	  3.4422	  3.9056	  0.0121	 80.6302
2010	  1	   8	  0	  0.3333	 24.1042	  2.6968	287.7696	318.1443	  0.9932	 -8.9673	328.2492	  6.7865	296.5545	 15.9409	  0.0000	  0.0000	  0.0230	  0.0023	 -0.0252	 -0.0252	  0.0742	   0.0742	  0.0024	  0.0000	 84.3741	127.0294	  0.1119	  0.6210	  0.1042	  0.1884	 -2.3011	  0.0000	 21.4383	  4.2231	  3.9830	  0.0140	 77.8261
2010	  1	   9	  0	  0.3750	 81.9271	  9.1660	289.8124	323.5670	  2.1969	 39.0065	335.3448	 42.4940	318.0674	 13.7900	  0.0000	  0.0000	  0.0199	  0.0009	 -0.0208	 -0.0208	  0.0534	   0.0534	  0.0010	  0.0000	 76.0916	138.1611	  0.1119	  0.6299	  0.1042	  0.2726	 -5.7635	  0.0000	 18.6870	  3.5093	  4.0204	  0.0197	 82.5528
2010	  1	  10	  0	  0.4167	142.2500	 15.9149	289.5783	330.2598	  3.7006	 85.6535	317.0402	 77.0647	314.5205	 11.1085	  0.0000	  0.0000	  0.0160	  0.0007	 -0.0167	 -0.0167	  0.0367	   0.0367	  0.0008	  0.0000	 69.5066	150.8412	  0.1119	  0.5979	  0.1042	  0.3745	-15.8554	  0.0000	 17.1488	  3.2292	  4.0086	  0.0291	 83.9563
2010	  1	  11	  0	  0.4583	275.1667	 30.7856	288.7725	342.0501	  6.3003	191.1034	319.9196	154.1250	346.6248	 10.2731	  0.0000	  0.0000	  0.0148	  0.0005	 -0.0153	 -0.0153	  0.0214	   0.0214	  0.0006	  0.0000	 65.2372	165.0523	  0.1119	  0.5604	  0.1042	  0.4280	-20.6100	  0.0000	 18.1704	  3.6742	  3.9901	  0.0338	 80.9961
2010	  1	  12	  0	  0.5000	343.9792	 38.4844	287.6085	349.3138	  7.8774	243.7895	321.9763	193.5094	363.7133	  8.5431	  0.0000	  0.0000	  0.0123	  0.0003	 -0.0127	 -0.0127	  0.0087	   0.0087	  0.0004	  0.0000	 63.7789	180.2503	  0.1119	  0.5195	  0.1042	  0.4045	-16.3778	  0.0000	 19.9972	  4.3621	  3.9716	  0.0321	 76.4015
2010	  1	  13	  0	  0.5417	329.0104	 36.8097	291.1595	352.3697	  8.4758	230.9905	323.5188	181.8398	365.6630	  7.0066	  0.0000	  0.0000	  0.0101	  0.0001	 -0.0102	 -0.0071	  0.0016	   0.0016	  0.0001	  0.0031	 65.3277	195.4320	  0.1119	  0.5131	  0.1042	  0.4353	-20.2919	  0.0000	 20.5106	  5.1845	  4.1655	  0.0344	 75.2733
2010	  1	  14	  0	  0.5833	245.1146	 27.4234	295.8833	348.9841	  7.6889	164.5904	329.7917	128.6851	360.1917	  5.5054	  0.0000	  0.0000	  0.0079	  0.0000	 -0.0080	 -0.0007	  0.0009	   0.0009	  0.0000	  0.0103	 69.6758	209.6028	  0.1119	  0.5377	  0.1042	  0.5439	-40.8589	  0.0000	 19.0909	  5.5647	  4.3940	  0.0420	 77.3434
2010	  1	  15	  0	  0.6250	124.7917	 13.9617	303.7175	343.6490	  6.4327	 70.8985	345.2170	 55.0568	357.1564	  3.9022	  0.0000	  0.0000	  0.0056	  0.0000	 -0.0056	 -0.0005	  0.0004	   0.0004	  0.0000	  0.0155	 76.3219	222.2358	  0.1119	  0.5916	  0.1042	  0.5587	-44.1343	  0.0000	 19.3700	  6.1452	  4.7851	  0.0430	 80.8408
