Year	DOY	Hour	Min	 Dectime	 azimuth	altitude	GlobalRad	DiffuseRad	DirectRad	 Kdown2d	   Kup2d	  Ksouth	   Kwest	  Knorth	   Keast	 Ldown2d	   Lup2d	  Lsouth	   Lwest	  Lnorth	   Least	    Tmrt	      I0	      CI	SH_Ground	SH_Walls	SVF_Ground	SVF_Roof	SVF_BdVeg	Emis_Sky	      Ta	      Tg	      Tw
2010	  1	   1	  0	  0.0417	 23.6889	-70.6771	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	290.1609	302.5257	305.3867	305.3867	305.3867	305.3867	 -2.4922	 87.0412	  0.4363	   0.0000	  0.0000	    0.4432	  0.7835	   0.4432	  0.7464	  0.6000	  0.0000	  0.0000
2010	  1	   2	  0	  0.0833	 54.6518	-63.4689	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	290.1548	302.5257	305.3862	305.3862	305.3862	305.3862	 -2.4924	 87.0431	  0.4363	   0.0000	  0.0000	    0.4432	  0.7835	   0.4432	  0.7464	  0.6000	  0.0000	  0.0000
2010	  1	   3	  0	  0.1250	 72.8673	-53.3054	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	290.1365	302.5257	305.3847	305.3847	305.3847	305.3847	 -2.4929	 87.0487	  0.4363	   0.0000	  0.0000	    0.4432	  0.7835	   0.4432	  0.7462	  0.6000	  0.0000	  0.0000
2010	  1	   4	  0	  0.1667	 85.1701	-42.1896	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	290.1147	302.5257	305.3829	305.3829	305.3829	305.3829	 -2.4936	 87.0554	  0.4363	   0.0000	  0.0000	    0.4432	  0.7835	   0.4432	  0.7460	  0.6000	  0.0000	  0.0000
2010	  1	   5	  0	  0.2083	 95.0236	-30.8676	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	290.0632	302.5257	305.3787	305.3787	305.3787	305.3787	 -2.4951	 87.0713	  0.4363	   0.0000	  0.0000	    0.4432	  0.7835	   0.4432	  0.7455	  0.6000	  0.0000	  0.0000
2010	  1	   6	  0	  0.2500	103.9892	-19.7041	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	289.9798	302.5257	305.3719	305.3719	305.3719	305.3719	 -2.4975	 87.0970	  0.4363	   0.0000	  0.0000	    0.4432	  0.7835	   0.4432	  0.7448	  0.6000	  0.0000	  0.0000
2010	  1	   7	  0	  0.2917	112.9167	 -8.9496	   2.3333	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	288.1664	302.5257	305.2231	305.2231	305.2231	305.2231	 -2.5509	 87.1160	  0.4630	   0.0000	  0.0000	    0.4432	  0.7835	   0.4432	  0.7443	  0.6000	  0.0000	  0.0000
2010	  1	   8	  0	  0.3333	122.4026	  1.5290	  24.1042	  103.8205	  15.2318	 17.0366	  0.7938	  2.5134	  2.5134	  2.5134	  2.5134	264.7903	302.5257	303.3150	298.3969	298.3969	303.3150	 -3.1948	 69.2300	  0.8222	   0.0000	  0.0059	    0.4432	  0.7835	   0.4432	  0.7456	  0.6000	  2.0043	  0.0000
2010	  1	   9	  0	  0.3750	132.9295	 10.2192	  81.9271	   46.8275	  74.4066	 67.8470	  3.8320	 12.1874	 11.7767	 11.7767	 12.1871	272.2228	303.8939	305.1226	297.7162	297.7162	305.1226	 -1.1211	199.5466	  0.7314	   0.0185	  0.0557	    0.4432	  0.7835	   0.4432	  0.7471	  0.8708	  2.1725	  0.0000
2010	  1	  10	  0	  0.4167	144.8829	 17.6401	 142.2500	   39.7128	 129.3259	117.7756	  6.6387	 20.5256	 20.5256	 20.5256	 20.5256	280.2639	306.1898	307.9764	300.7096	300.8278	307.9764	  1.2403	340.4805	  0.6459	   0.0000	  0.0566	    0.4432	  0.7835	   0.4432	  0.7473	  1.4250	  2.2190	  0.2224
