%iy id it imin Q* QH QE Qs Qf Wind RH Td press rain Kdn snow ldown fcld wuh xsmd lai_hr Kdiff Kdir Wd
2010  1   1  0 -999.00 -999.00 -999.00 -999.00 -999.00   0.01  98.61   0.60 101.00 0.2500   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  1   2  0 -999.00 -999.00 -999.00 -999.00 -999.00   0.01  98.45   0.60 101.00 0.5100   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  1   3  0 -999.00 -999.00 -999.00 -999.00 -999.00   0.01  98.11   0.60 101.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  1   4  0 -999.00 -999.00 -999.00 -999.00 -999.00   0.01  97.83   0.60 101.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  1   5  0 -999.00 -999.00 -999.00 -999.00 -999.00   0.01  96.73   0.60 101.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  1   6  0 -999.00 -999.00 -999.00 -999.00 -999.00   0.01  95.50   0.60 101.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  1   7  0 -999.00 -999.00 -999.00 -999.00 -999.00   0.01  94.96   0.60 101.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  1   8  0 -999.00 -999.00 -999.00 -999.00 -999.00   1.34  99.39   0.60 101.00 0.0000  16.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  1   9  0 -999.00 -999.00 -999.00 -999.00 -999.00   1.34  96.40   1.10 101.00 0.0000  83.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  1  10  0 -999.00 -999.00 -999.00 -999.00 -999.00   2.68  92.83   1.70 101.00 0.0000 123.50 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  1  11  0 -999.00 -999.00 -999.00 -999.00 -999.00   2.24  88.78   2.20 101.00 0.0000 281.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  1  12  0 -999.00 -999.00 -999.00 -999.00 -999.00   2.24  84.33   2.80 100.00 0.0000 353.50 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  1  13  0 -999.00 -999.00 -999.00 -999.00 -999.00   2.68  85.35   3.90 100.00 0.0000 340.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  1  14  0 -999.00 -999.00 -999.00 -999.00 -999.00   4.02  87.59   3.90 100.00 0.0000 255.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  1  15  0 -999.00 -999.00 -999.00 -999.00 -999.00   3.13  92.87   5.00 100.00 0.0000 126.50 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  1  16  0 -999.00 -999.00 -999.00 -999.00 -999.00   3.13  95.05   3.30 100.00 0.0000  23.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  1  17  0 -999.00 -999.00 -999.00 -999.00 -999.00   2.68  94.95   3.90 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  1  18  0 -999.00 -999.00 -999.00 -999.00 -999.00   2.68  94.59   3.30 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  1  19  0 -999.00 -999.00 -999.00 -999.00 -999.00   4.02  93.77   4.40 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  1  20  0 -999.00 -999.00 -999.00 -999.00 -999.00   4.02 100.00   3.90 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  1  21  0 -999.00 -999.00 -999.00 -999.00 -999.00   6.26 100.00   3.90 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  1  22  0 -999.00 -999.00 -999.00 -999.00 -999.00   4.02  98.40   3.30 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
