 id  pai   fai   zH  zHmax   zHstd  zd  z0  wai 
3336 0.568 1.469 98.844 221.062 56.822 171.642 17.818 0.901
3242 0.552 1.573 106.278 254.374 64.807 187.713 22.695 0.867
3054 0.010 0.008 19.761 63.999 18.773 12.159 0.037 0.007
3337 0.521 1.455 92.549 211.998 63.609 166.274 24.834 0.814
3055 0.139 0.125 34.212 88.907 22.275 39.296 3.378 0.121
3148 0.429 1.222 88.494 310.453 63.249 157.479 27.071 0.735
3243 0.522 1.505 108.317 277.661 71.933 194.800 27.835 0.989
3338 0.453 0.755 42.608 130.570 31.955 77.754 10.718 0.532
3056 0.482 0.752 40.199 104.220 22.190 66.140 6.018 0.489
3149 0.395 1.018 68.923 210.364 52.030 120.376 21.826 0.544
3244 0.467 0.828 66.278 245.626 62.971 137.193 25.497 0.569
3339 0.081 0.139 47.495 70.403 17.190 34.660 5.892 0.118
3057 0.463 0.799 42.623 180.512 32.389 80.764 11.117 0.523
3150 0.461 0.850 42.880 163.842 33.844 81.833 12.334 0.519
3245 0.302 0.675 49.747 147.874 39.949 81.180 14.786 0.366
3151 0.457 0.703 42.367 130.445 29.198 75.126 8.907 0.443
