Wd Paved Buildings EvergreenTrees DecidiousTrees Grass Baresoil Water
  0 0.336 0.480 0.000 0.184 0.000 0.000 0.000
  5 0.376 0.504 0.000 0.112 0.008 0.000 0.000
 10 0.472 0.432 0.000 0.072 0.024 0.000 0.000
 15 0.426 0.426 0.000 0.132 0.016 0.000 0.000
 20 0.417 0.508 0.000 0.068 0.008 0.000 0.000
 25 0.380 0.518 0.000 0.080 0.022 0.000 0.000
 30 0.287 0.545 0.000 0.147 0.021 0.000 0.000
 35 0.424 0.444 0.000 0.132 0.000 0.000 0.000
 40 0.407 0.389 0.000 0.198 0.006 0.000 0.000
 45 0.400 0.429 0.000 0.126 0.046 0.000 0.000
 50 0.327 0.469 0.000 0.185 0.019 0.000 0.000
 55 0.404 0.424 0.000 0.146 0.026 0.000 0.000
 60 0.315 0.427 0.000 0.224 0.035 0.000 0.000
 65 0.423 0.372 0.000 0.197 0.007 0.000 0.000
 70 0.462 0.364 0.000 0.167 0.008 0.000 0.000
 75 0.380 0.465 0.000 0.140 0.016 0.000 0.000
 80 0.496 0.328 0.000 0.168 0.008 0.000 0.000
 85 0.432 0.368 0.000 0.152 0.048 0.000 0.000
 90 0.384 0.480 0.000 0.120 0.016 0.000 0.000
 95 0.376 0.472 0.000 0.096 0.056 0.000 0.000
100 0.448 0.392 0.000 0.128 0.032 0.000 0.000
105 0.496 0.349 0.000 0.147 0.008 0.000 0.000
110 0.500 0.295 0.000 0.197 0.008 0.000 0.000
115 0.248 0.438 0.000 0.277 0.036 0.000 0.000
120 0.392 0.343 0.000 0.224 0.042 0.000 0.000
125 0.424 0.331 0.000 0.185 0.046 0.000 0.013
130 0.438 0.395 0.000 0.130 0.000 0.000 0.037
135 0.314 0.480 0.000 0.137 0.011 0.000 0.057
140 0.407 0.481 0.000 0.099 0.000 0.000 0.012
145 0.351 0.437 0.000 0.212 0.000 0.000 0.000
150 0.322 0.420 0.000 0.259 0.000 0.000 0.000
155 0.423 0.423 0.000 0.153 0.000 0.000 0.000
160 0.379 0.462 0.000 0.152 0.008 0.000 0.000
165 0.271 0.519 0.000 0.186 0.023 0.000 0.000
170 0.376 0.504 0.000 0.104 0.016 0.000 0.000
175 0.392 0.496 0.000 0.096 0.016 0.000 0.000
180 0.336 0.480 0.000 0.184 0.000 0.000 0.000
185 0.376 0.504 0.000 0.112 0.008 0.000 0.000
190 0.472 0.432 0.000 0.072 0.024 0.000 0.000
195 0.426 0.426 0.000 0.132 0.016 0.000 0.000
200 0.379 0.523 0.000 0.091 0.008 0.000 0.000
205 0.328 0.584 0.000 0.073 0.015 0.000 0.000
210 0.294 0.552 0.000 0.133 0.021 0.000 0.000
215 0.377 0.490 0.000 0.119 0.013 0.000 0.000
220 0.401 0.358 0.000 0.216 0.025 0.000 0.000
225 0.400 0.429 0.000 0.126 0.046 0.000 0.000
230 0.352 0.457 0.000 0.179 0.012 0.000 0.000
235 0.417 0.430 0.000 0.152 0.000 0.000 0.000
240 0.308 0.420 0.000 0.238 0.035 0.000 0.000
245 0.307 0.416 0.000 0.270 0.007 0.000 0.000
250 0.462 0.364 0.000 0.167 0.008 0.000 0.000
255 0.380 0.465 0.000 0.140 0.016 0.000 0.000
260 0.496 0.328 0.000 0.168 0.008 0.000 0.000
265 0.432 0.368 0.000 0.152 0.048 0.000 0.000
270 0.384 0.480 0.000 0.120 0.016 0.000 0.000
275 0.376 0.472 0.000 0.096 0.056 0.000 0.000
280 0.448 0.392 0.000 0.128 0.032 0.000 0.000
285 0.496 0.349 0.000 0.147 0.008 0.000 0.000
290 0.470 0.318 0.000 0.205 0.008 0.000 0.000
295 0.263 0.453 0.000 0.277 0.007 0.000 0.000
300 0.385 0.357 0.000 0.224 0.035 0.000 0.000
305 0.430 0.384 0.000 0.172 0.013 0.000 0.000
310 0.401 0.475 0.000 0.093 0.000 0.000 0.031
315 0.314 0.480 0.000 0.137 0.011 0.000 0.057
320 0.401 0.451 0.000 0.136 0.000 0.000 0.012
325 0.384 0.437 0.000 0.179 0.000 0.000 0.000
330 0.301 0.427 0.000 0.273 0.000 0.000 0.000
335 0.423 0.409 0.000 0.153 0.015 0.000 0.000
340 0.326 0.470 0.000 0.182 0.023 0.000 0.000
345 0.271 0.519 0.000 0.186 0.023 0.000 0.000
350 0.376 0.504 0.000 0.104 0.016 0.000 0.000
355 0.392 0.496 0.000 0.096 0.016 0.000 0.000
