ID Paved Buildings EvergreenTrees DecidiousTrees Grass Baresoil Water
3336 0.416 0.572 0.000 0.009 0.003 0.000 0.000
3242 0.394 0.544 0.000 0.056 0.006 0.000 0.000
3054 0.130 0.008 0.000 0.638 0.199 0.025 0.000
3337 0.394 0.519 0.000 0.083 0.004 0.000 0.000
3055 0.167 0.126 0.000 0.587 0.114 0.000 0.006
3148 0.379 0.422 0.000 0.160 0.017 0.000 0.022
3243 0.440 0.513 0.000 0.038 0.009 0.000 0.000
3338 0.363 0.446 0.000 0.166 0.016 0.000 0.009
3056 0.358 0.480 0.000 0.140 0.022 0.000 0.000
3149 0.371 0.392 0.000 0.186 0.025 0.000 0.026
3244 0.427 0.473 0.000 0.093 0.007 0.000 0.000
3339 0.144 0.112 0.000 0.088 0.024 0.000 0.632
3057 0.359 0.461 0.000 0.161 0.019 0.000 0.000
3150 0.351 0.465 0.000 0.171 0.013 0.000 0.000
3245 0.454 0.282 0.000 0.117 0.024 0.000 0.123
3151 0.384 0.453 0.000 0.150 0.013 0.000 0.000
