 id  pai   fai   zH  zHmax   zHstd  zd  z0  wai 
3336 0.001 0.003 6.648 11.600 1.864 1.441 0.001 0.002
3242 0.017 0.027 12.165 31.900 5.752 6.700 0.340 0.023
3054 0.412 0.485 16.662 31.100 5.247 21.645 1.353 0.306
3337 0.037 0.041 11.670 30.500 5.576 8.085 0.510 0.044
3055 0.382 0.434 16.844 31.900 5.949 21.898 1.527 0.273
3148 0.069 0.064 15.887 31.900 7.055 12.402 1.022 0.068
3243 0.013 0.023 8.023 20.600 3.115 3.917 0.168 0.017
3338 0.048 0.069 10.861 27.200 4.810 7.921 0.840 0.064
3056 0.074 0.098 10.023 29.400 4.172 8.420 0.962 0.086
3149 0.105 0.088 15.306 30.600 6.353 13.492 1.140 0.088
3244 0.026 0.039 9.651 29.400 3.917 5.922 0.424 0.036
3339 0.058 0.035 11.366 30.200 5.403 9.017 0.352 0.042
3057 0.049 0.088 9.969 31.500 4.192 7.507 0.967 0.065
3150 0.085 0.178 12.217 26.900 5.045 10.227 1.781 0.103
3245 0.048 0.053 11.110 30.100 4.771 8.158 0.632 0.047
3151 0.066 0.111 10.471 23.300 4.041 7.984 1.150 0.074
