Year	DOY	Hour	Min	 Dectime	   Kdown	     Kup	   Ldown	     Lup	   Tsurf	      QN	      QF	      QS	      QH	      QE	    Rain	     Irr	    Evap	      RO	   TotCh	  SurfCh	   State	NWtrState	Drainage	     SMD	  Zenith	 Azimuth	 AlbBulk	    Fcld	     LAI	   UStar	     Lob	      Fc	      Ts	      T2	      Q2	     U10	     RH2
2010	  1	   1	  0	  0.0417	  0.0000	  0.0000	289.0989	317.2998	  0.6000	-28.2009	 12.4299	 -6.6825	 -8.6138	 -0.4747	  0.2500	  0.0000	 -0.0007	  0.0096	  0.2411	  0.2411	  0.2411	   0.2410	  0.0102	  0.0000	158.1446	 40.6584	  0.1234	  0.6362	  0.7694	  0.0008	  0.0000	  0.0000	 -0.1974	 -2.3316	  3.7935	  0.0000	100.0000
2010	  1	   2	  0	  0.0833	  0.0000	  0.0000	289.0057	317.2961	  0.6000	-28.2904	 10.8095	 -5.2724	-10.1833	 -2.0252	  0.5100	  0.0000	 -0.0029	  0.1167	  0.3962	  0.3962	  0.6373	   0.6365	  0.1244	  0.0000	149.0629	 64.4477	  0.1234	  0.6351	  0.7694	  0.0008	  0.0000	  0.0000	 -0.3427	 -2.8658	  3.4383	  0.0000	100.0000
2010	  1	   3	  0	  0.1250	  0.0000	  0.0000	288.7294	317.2851	  0.6000	-28.5558	 10.1839	 -4.5275	-10.9576	 -2.8867	  0.0000	  0.0000	 -0.0042	  0.0764	 -0.0722	 -0.0722	  0.5651	   0.5638	  0.0818	  0.0000	138.2796	 79.1060	  0.1234	  0.6319	  0.7694	  0.0008	  0.0000	  0.0000	 -0.4144	 -3.1294	  3.2326	  0.0000	100.0000
2010	  1	   4	  0	  0.1667	  0.0000	  0.0000	288.4001	317.2721	  0.6000	-28.8719	  9.8455	 -4.1593	-12.1103	 -2.7568	  0.0000	  0.0000	 -0.0040	  0.0340	 -0.0300	 -0.0300	  0.5351	   0.5336	  0.0367	  0.0000	126.9940	 89.9272	  0.1234	  0.6281	  0.7694	  0.0008	  0.0000	  0.0000	 -0.5212	 -3.5218	  3.2499	  0.0000	100.0000
2010	  1	   5	  0	  0.2083	  0.0000	  0.0000	287.6289	317.2414	  0.6000	-29.6125	 10.5121	 -4.1875	-12.5210	 -2.3919	  0.0000	  0.0000	 -0.0034	  0.0265	 -0.0231	 -0.0231	  0.5120	   0.5103	  0.0288	  0.0000	115.6977	 99.1976	  0.1234	  0.6193	  0.7694	  0.0008	  0.0000	  0.0000	 -0.5592	 -3.6616	  3.3040	  0.0000	100.0000
2010	  1	   6	  0	  0.2500	  0.0000	  0.0000	286.3926	317.1923	  0.6000	-30.7997	 14.5426	 -4.5634	-10.4263	 -1.2675	  0.0000	  0.0000	 -0.0018	  0.0229	 -0.0211	 -0.0211	  0.4909	   0.4891	  0.0249	  0.0000	104.6956	108.0361	  0.1234	  0.6052	  0.7694	  0.0008	  0.0000	  0.0000	 -0.3653	 -2.9488	  3.5127	  0.0000	100.0000
2010	  1	   7	  0	  0.2917	  2.3333	  0.2879	285.4959	317.3204	  0.6366	-29.7791	 24.0086	 -4.0349	 -2.7357	  1.0001	  0.0000	  0.0000	  0.0014	  0.0205	 -0.0219	 -0.0219	  0.4690	   0.4671	  0.0223	  0.0000	 94.0090	117.1348	  0.1234	  0.5950	  0.7694	  0.0505	-57.6286	  0.0000	  0.3467	 -0.4906	  3.8602	  0.0073	 98.8516
2010	  1	   8	  0	  0.3333	 24.1042	  2.9740	287.7696	318.9374	  0.9775	-10.0376	 32.7362	  5.1367	 13.2681	  4.2938	  0.0000	  0.0000	  0.0062	  0.0183	 -0.0245	 -0.0245	  0.4445	   0.4425	  0.0200	  0.0000	 84.3829	127.0261	  0.1234	  0.6210	  0.7694	  0.1501	-30.6144	  0.0000	  1.4584	  0.7840	  3.8978	  0.0745	 97.2255
2010	  1	   9	  0	  0.3750	 81.9271	 10.1082	289.8124	324.2862	  2.1439	 37.3452	 33.4438	 28.0183	 32.8130	  9.9577	  0.0000	  0.0000	  0.0143	  0.0162	 -0.0305	 -0.0305	  0.4140	   0.4120	  0.0176	  0.0000	 76.1012	138.1580	  0.1234	  0.6299	  0.7694	  0.1545	-10.2375	  0.0000	  2.0808	  1.0567	  3.9818	  0.1433	 97.3837
2010	  1	  10	  0	  0.4167	142.2500	 17.5508	289.5783	330.9987	  3.6103	 83.2788	 31.6183	 50.0465	 47.8319	 17.0187	  0.0000	  0.0000	  0.0245	  0.0138	 -0.0384	 -0.0384	  0.3756	   0.3737	  0.0151	  0.0000	 69.5166	150.8376	  0.1234	  0.5979	  0.7694	  0.2199	-20.5977	  0.0000	  2.9695	  1.6527	  4.0197	  0.1933	 94.1908
