Year	DOY	Hour	Min	 Dectime	Tsfc_Paved	Tsfc_Bldgs	Tsfc_EveTr	Tsfc_DecTr	Tsfc_Grass	Tsfc_BSoil	Tsfc_Water	QN_Paved	QN_Bldgs	QN_EveTr	QN_DecTr	QN_Grass	QN_BSoil	QN_Water	QS_Paved	QS_Bldgs	QS_EveTr	QS_DecTr	QS_Grass	QS_BSoil	QS_Water	QE0_Paved	QE0_Bldgs	QE0_EveTr	QE0_DecTr	QE0_Grass	QE0_BSoil	QE0_Water	QE_Paved	QE_Bldgs	QE_EveTr	QE_DecTr	QE_Grass	QE_BSoil	QE_Water	QH_Paved	QH_Bldgs	QH_EveTr	QH_DecTr	QH_Grass	QH_BSoil	QH_Water	wu_Paved	wu_Bldgs	wu_EveTr	wu_DecTr	wu_Grass	wu_BSoil	wu_Water	ev0_Paved	ev0_Bldgs	ev0_EveTr	ev0_DecTr	ev0_Grass	ev0_BSoil	ev0_Water	ev_Paved	ev_Bldgs	ev_EveTr	ev_DecTr	ev_Grass	ev_BSoil	ev_Water	drain_Paved	drain_Bldgs	drain_EveTr	drain_DecTr	drain_Grass	drain_BSoil	drain_Water	st_Paved_prev	st_Bldgs_prev	st_EveTr_prev	st_DecTr_prev	st_Grass_prev	st_BSoil_prev	st_Water_prev	st_Paved_next	st_Bldgs_next	st_EveTr_next	st_DecTr_next	st_Grass_next	st_BSoil_next	st_Water_next	ss_Paved_prev	ss_Bldgs_prev	ss_EveTr_prev	ss_DecTr_prev	ss_Grass_prev	ss_BSoil_prev	ss_Water_prev	ss_Paved_next	ss_Bldgs_next	ss_EveTr_next	ss_DecTr_next	ss_Grass_next	ss_BSoil_next	ss_Water_next	      RS	      RA	      RB	  RAsnow	RSS_Paved	RSS_Bldgs	RSS_EveTr	RSS_DecTr	RSS_Grass	RSS_BSoil	RSS_Water	    vsmd	     dsp	    G_sm	   x_exp	 g_kdown	    g_dq	    g_ta	   g_smd	   g_lai	 vpd_hPa	 lv_J_kg	  avdens	    avcp	   s_hPa	psyc_hPa	    iter	FAIBldg_use	FAIEveTree_use	FAIDecTree_use	     FAI	   dqndt
2010	  1	   1	  0	  0.0417	    6.6438	    6.7434	    7.0274	    6.7429	    7.0121	    7.1336	    4.6438	-27.8987	-26.7241	-28.7797	-28.7797	-27.3114	-27.6051	-27.8987	 -9.6935	 -9.6935	 -9.6935	 -9.6935	 -9.6935	 -9.6935	 -9.6935	   5.6998	   5.7819	   0.6039	   3.7290	   2.2423	   0.6136	  27.6549	  5.6998	  5.7819	  0.6039	  3.7290	  2.2423	  0.6136	 27.6549	 66.0676	 67.1603	 70.2825	 67.1574	 70.1125	 71.4475	 44.1126	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0007	   0.0007	   0.0001	   0.0004	   0.0003	   0.0001	   0.0033	  0.0007	  0.0007	  0.0001	  0.0004	  0.0003	  0.0001	  0.0033	     0.0022	     0.0021	     0.0000	     0.0002	     0.0002	     0.0000	     0.0000	       0.1080	       0.1077	       0.0000	       0.1122	       0.1144	       0.0000	       0.0971	       0.1261	       0.1257	       0.0000	       0.1323	       0.1355	       0.0000	       0.1146	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	9999.9999	120.0000	 10.3088	  0.0000	1862.8544	1863.9827	9999.9999	2427.6597	3477.7911	9999.9999	 833.3333	  0.0000	111.2000	  0.0500	 -5.5600	  0.0000	  0.9929	  0.4308	  0.9962	  0.4643	  0.0888	2499017.5985	  1.2853	1008.5406	  0.4612	  0.6554	122.0000	     0.6750	        0.0360	        0.0424	  0.7174	-11.0608
2010	  1	   2	  0	  0.0833	    4.7133	    4.8136	    5.8383	    4.8199	    5.3803	    5.9447	    3.6748	-27.9872	-26.8088	-28.8710	-28.8710	-27.3980	-27.6926	-27.9872	 -8.4161	 -8.4161	 -8.4161	 -8.4161	 -8.4161	 -8.4161	 -8.4161	  13.7406	  13.8168	   0.4966	  11.6859	   7.0015	   0.5063	  25.1492	 13.7406	 13.8168	  0.4966	 11.6859	  7.0015	  0.5063	 25.1492	 44.9317	 46.0340	 57.2920	 46.1027	 52.2601	 58.4606	 33.5231	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0016	   0.0017	   0.0001	   0.0014	   0.0008	   0.0001	   0.0030	  0.0016	  0.0017	  0.0001	  0.0014	  0.0008	  0.0001	  0.0030	     0.0299	     0.0286	     0.0000	     0.0014	     0.0017	     0.0000	     0.0000	       0.3232	       0.3186	       0.0000	       0.4636	       0.5255	       0.0000	       0.4271	       0.3359	       0.3309	       0.0000	       0.5033	       0.5768	       0.0000	       0.4666	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	9999.9999	120.0000	 10.3088	  0.0000	 178.0259	 182.8566	9999.9999	 267.9012	 617.7170	9999.9999	   0.0000	  0.0000	111.2000	  0.0500	 -5.5600	  0.0000	  0.9924	  0.4308	  0.9962	  0.4643	  0.0944	2499030.3104	  1.2853	1008.5376	  0.4612	  0.6553	120.0000	     0.6750	        0.0360	        0.0424	  0.7174	 -6.6494
2010	  1	   3	  0	  0.1250	    4.5412	    4.6522	    5.3279	    3.9307	    4.5464	    5.4346	    3.3630	-28.2498	-27.0603	-29.1419	-29.1419	-27.6551	-27.9524	-28.2498	 -7.8018	 -7.8018	 -7.8018	 -7.8018	 -7.8018	 -7.8018	 -7.8018	  10.0365	   9.9988	   0.4550	  15.9039	  10.5839	   0.4648	  23.0760	 10.0365	  9.9988	  0.4550	 15.9039	 10.5839	  0.4648	 23.0760	 43.2307	 44.4578	 51.9202	 36.4712	 43.2781	 53.0998	 30.1913	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0012	   0.0012	   0.0001	   0.0019	   0.0013	   0.0001	   0.0028	  0.0012	  0.0012	  0.0001	  0.0019	  0.0013	  0.0001	  0.0028	     0.0154	     0.0143	     0.0000	     0.0025	     0.0038	     0.0000	     0.0000	       0.2525	       0.2461	       0.0000	       0.6938	       0.8854	       0.0000	       0.6684	       0.2369	       0.2306	       0.0000	       0.6894	       0.8861	       0.0000	       0.6657	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	9999.9999	120.0000	 10.3088	  0.0000	 286.7099	 299.5398	9999.9999	  87.7789	 246.0654	9999.9999	   0.0000	  0.0000	111.2000	  0.0500	 -5.5600	  0.0000	  0.9911	  0.4308	  0.9962	  0.4643	  0.1108	2499065.1350	  1.2853	1008.5286	  0.4612	  0.6553	113.0000	     0.6750	        0.0360	        0.0424	  0.7174	 -4.0466
2010	  1	   4	  0	  0.1667	    4.6088	    4.7213	    5.0410	    3.8109	    4.3318	    5.1484	    3.1796	-28.5626	-27.3599	-29.4645	-29.4645	-27.9612	-28.2619	-28.5626	 -7.5494	 -7.5494	 -7.5494	 -7.5494	 -7.5494	 -7.5494	 -7.5494	   6.1385	   6.0915	   0.4338	  14.1036	   9.8191	   0.4437	  22.0210	  6.1385	  6.0915	  0.4338	 14.1036	  9.8191	  0.4437	 22.0210	 44.1138	 45.3635	 48.9166	 35.2468	 41.0346	 50.1093	 28.2313	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0007	   0.0007	   0.0001	   0.0017	   0.0012	   0.0001	   0.0026	  0.0007	  0.0007	  0.0001	  0.0017	  0.0012	  0.0001	  0.0026	     0.0034	     0.0031	     0.0000	     0.0022	     0.0036	     0.0000	     0.0000	       0.1584	       0.1534	       0.0000	       0.6444	       0.8590	       0.0000	       0.6362	       0.1545	       0.1496	       0.0000	       0.6405	       0.8555	       0.0000	       0.6335	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	9999.9999	120.0000	 10.3088	  0.0000	 533.6677	 556.2606	9999.9999	 109.5070	 259.3367	9999.9999	   0.0000	  0.0000	111.2000	  0.0500	 -5.5600	  0.0000	  0.9896	  0.4308	  0.9962	  0.4643	  0.1305	2499106.8181	  1.2853	1008.5179	  0.4612	  0.6553	108.0000	     0.6750	        0.0360	        0.0424	  0.7174	 -2.5287
2010	  1	   5	  0	  0.2083	    5.0885	    5.2063	    5.4482	    4.1792	    4.7016	    5.5590	    3.3774	-29.2952	-28.0617	-30.2203	-30.2203	-28.6785	-28.9868	-29.2952	 -7.7808	 -7.7808	 -7.7808	 -7.7808	 -7.7808	 -7.7808	 -7.7808	   5.3740	   5.3077	   0.4784	  14.4846	  10.2597	   0.4886	  24.2558	  5.3740	  5.3077	  0.4784	 14.4846	 10.2597	  0.4886	 24.2558	 49.2023	 50.5021	 53.1729	 39.1666	 44.9334	 54.3961	 30.3205	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0006	   0.0006	   0.0001	   0.0017	   0.0012	   0.0001	   0.0029	  0.0006	  0.0006	  0.0001	  0.0017	  0.0012	  0.0001	  0.0029	     0.0016	     0.0014	     0.0000	     0.0019	     0.0033	     0.0000	     0.0000	       0.1237	       0.1193	       0.0000	       0.5993	       0.8140	       0.0000	       0.6034	       0.1216	       0.1172	       0.0000	       0.5956	       0.8101	       0.0000	       0.6005	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	9999.9999	120.0000	 10.3088	  0.0000	 718.6357	 749.8917	9999.9999	 132.3357	 283.7555	9999.9999	   0.0000	  0.0000	111.2000	  0.0500	 -5.5600	  0.0000	  0.9859	  0.4308	  0.9962	  0.4643	  0.1767	2499205.6751	  1.2853	1008.4927	  0.4612	  0.6553	115.0000	     0.6750	        0.0360	        0.0424	  0.7174	 -1.6889
2010	  1	   6	  0	  0.2500	    7.6068	    7.7377	    8.0754	    6.2762	    6.9530	    8.1917	    4.8629	-30.4697	-29.1868	-31.4319	-31.4319	-29.8282	-30.1490	-30.4697	 -8.4571	 -8.4571	 -8.4571	 -8.4571	 -8.4571	 -8.4571	 -8.4571	   6.8183	   6.6686	   0.7300	  20.4102	  14.6104	   0.7406	  36.8279	  6.8183	  6.6686	  0.7300	 20.4102	 14.6104	  0.7406	 36.8279	 76.4342	 77.8668	 81.5603	 61.8801	 69.2836	 82.8326	 46.4246	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0008	   0.0008	   0.0001	   0.0024	   0.0018	   0.0001	   0.0044	  0.0008	  0.0008	  0.0001	  0.0024	  0.0018	  0.0001	  0.0044	     0.0009	     0.0008	     0.0000	     0.0017	     0.0029	     0.0000	     0.0000	       0.1019	       0.0979	       0.0000	       0.5535	       0.7653	       0.0000	       0.5621	       0.1003	       0.0963	       0.0000	       0.5493	       0.7609	       0.0000	       0.5576	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	9999.9999	120.0000	 10.3088	  0.0000	 894.2771	 935.1662	9999.9999	 159.3122	 313.3573	9999.9999	   0.0000	  0.0000	111.2000	  0.0500	 -5.5600	  0.0000	  0.9799	  0.4308	  0.9962	  0.4643	  0.2515	2499363.5980	  1.2853	1008.4520	  0.4612	  0.6552	127.0000	     0.6750	        0.0360	        0.0424	  0.7174	 -1.3510
2010	  1	   7	  0	  0.2917	   13.7104	   13.8577	   14.4380	   11.4952	   12.4551	   14.5429	    8.5435	-29.3896	-28.1137	-30.3787	-30.4216	-28.9019	-29.2316	-29.3896	 -7.6405	 -7.6405	 -7.6405	 -7.6405	 -7.6405	 -7.6405	 -7.6405	   9.6024	   9.2767	   0.7030	  32.6553	  23.7373	   0.7091	  65.7763	  9.6024	  9.2767	  0.7030	 32.6553	 23.7373	  0.7091	 65.7763	142.4322	144.0338	150.3426	118.3474	128.7851	151.4836	 86.2584	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0012	   0.0011	   0.0001	   0.0039	   0.0028	   0.0001	   0.0079	  0.0012	  0.0011	  0.0001	  0.0039	  0.0028	  0.0001	  0.0079	     0.0005	     0.0004	     0.0000	     0.0015	     0.0026	     0.0000	     0.0000	       0.0829	       0.0792	       0.0000	       0.4974	       0.7086	       0.0000	       0.4920	       0.0814	       0.0777	       0.0000	       0.4920	       0.7034	       0.0000	       0.4841	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	44232.8637	120.0000	 10.3088	  0.0000	1188.3391	1249.3160	44232.8637	 202.6198	 361.3323	44232.8637	   0.0000	  0.0000	111.2000	  0.0500	 -5.5600	  0.0132	  0.9755	  0.4308	  0.9962	  0.4643	  0.3063	2499481.0794	  1.2853	1008.4223	  0.4612	  0.6552	142.0000	     0.6750	        0.0360	        0.0424	  0.7174	 -1.0091
2010	  1	   8	  0	  0.3333	   15.0813	   15.1712	   15.7079	   12.9513	   13.6581	   15.6819	    9.4006	 -9.2033	 -8.4190	-10.1242	-10.5677	-10.3634	-10.6704	 -9.2033	  6.7397	  6.7397	  6.7397	  6.7397	  6.7397	  6.7397	  6.7397	  10.9801	  10.5240	   1.1201	  40.2533	  30.5307	   1.1157	  93.3480	 10.9801	 10.5240	  1.1201	 40.2533	 30.5307	  1.1157	 93.3480	210.0346	211.2750	218.9737	179.3970	189.3238	218.4319	127.6667	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0013	   0.0013	   0.0001	   0.0048	   0.0037	   0.0001	   0.0112	  0.0013	  0.0013	  0.0001	  0.0048	  0.0037	  0.0001	  0.0112	     0.0002	     0.0002	     0.0000	     0.0012	     0.0022	     0.0000	     0.0000	       0.0644	       0.0612	       0.0000	       0.4281	       0.6422	       0.0000	       0.3770	       0.0629	       0.0597	       0.0000	       0.4221	       0.6365	       0.0000	       0.3658	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	15259.6876	 91.0318	  8.9724	  0.0000	1151.2799	1212.7646	15259.6876	 199.3130	 314.3413	15259.6876	   0.0000	  0.0000	111.2000	  0.0500	 -5.5600	  0.1219	  0.9865	  0.4308	  0.9962	  0.4643	  0.1687	2499188.6471	  1.2853	1008.4971	  0.4612	  0.6553	147.0000	     0.6750	        0.0360	        0.0424	  0.7174	  2.3728
2010	  1	   9	  0	  0.3750	   13.4678	   13.4748	   13.8496	   11.8292	   12.0680	   13.5865	    8.4308	 39.4152	 39.1044	 38.5177	 37.0103	 33.9837	 33.6845	 39.4152	 42.1949	 42.1949	 42.1949	 42.1949	 42.1949	 42.1949	 42.1949	  10.7221	  10.2825	   2.8900	  38.0679	  30.7011	   2.8307	 102.1647	 10.7221	 10.2825	  2.8900	 38.0679	 30.7011	  2.8307	102.1647	228.5781	228.7069	235.5128	198.8274	203.1676	230.7388	137.1355	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0013	   0.0012	   0.0003	   0.0046	   0.0037	   0.0003	   0.0123	  0.0013	  0.0012	  0.0003	  0.0046	  0.0037	  0.0003	  0.0123	     0.0000	     0.0000	     0.0000	     0.0009	     0.0018	     0.0000	     0.0000	       0.0472	       0.0447	       0.0000	       0.3579	       0.5739	       0.0000	       0.2341	       0.0459	       0.0434	       0.0000	       0.3524	       0.5685	       0.0000	       0.2218	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	4305.2842	 71.7674	  7.3186	  0.0000	1052.1801	1100.7514	4305.2842	 204.8831	 277.8740	4305.2842	  -0.0000	  0.0000	111.2000	  0.0500	 -5.5600	  0.3366	  0.9883	  0.4404	  0.9962	  0.4643	  0.1459	2498496.7270	  1.2840	1008.5821	  0.4693	  0.6555	144.0000	     0.6750	        0.0360	        0.0424	  0.7174	 13.2505
2010	  1	  10	  0	  0.4167	   12.5339	   12.4926	   12.7648	   11.1601	   11.1042	   12.3343	    7.8101	 86.6755	 85.3679	 85.6931	 83.0757	 76.8608	 76.5333	 86.6755	 76.5113	 76.5113	 76.5113	 76.5113	 76.5113	 76.5113	 76.5113	   9.6594	   9.2367	   3.9473	  34.4189	  29.4960	   3.8028	 108.6444	  9.6594	  9.2367	  3.9473	 34.4189	 29.4960	  3.8028	107.2434	229.3708	228.4859	234.1005	201.0116	199.7195	225.0852	131.7869	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0012	   0.0011	   0.0005	   0.0041	   0.0035	   0.0005	   0.0130	  0.0012	  0.0011	  0.0005	  0.0041	  0.0035	  0.0005	  0.0129	     0.0000	     0.0000	     0.0000	     0.0007	     0.0015	     0.0000	     0.0000	       0.0328	       0.0307	       0.0000	       0.2964	       0.5111	       0.0000	       0.0850	       0.0317	       0.0296	       0.0000	       0.2915	       0.5061	       0.0000	       0.0721	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	2937.2230	 63.0802	  6.8412	  0.0000	1121.8198	1171.6825	2937.2230	 230.9393	 278.3679	2937.2230	  -0.0000	  0.0000	111.2000	  0.0500	 -5.5600	  0.4793	  0.9699	  0.4599	  0.9962	  0.4643	  0.3762	2497660.7389	  1.2814	1008.6087	  0.4862	  0.6558	144.0000	     0.6750	        0.0360	        0.0424	  0.7174	 23.3524
